ID,PRODUCT,CATEGORY,UNIT PRICE,UNIT COST,STOCK,MIN STOCK,SUPPLIER,STATUS
1,COKE 600MLS 12S/W NP,PET,9700,8200,100,20,Coca-Cola Tanzania,active
2,PEPSI 500ML BTL,PET,5500,4200,75,15,Pepsi Tanzania Ltd,active
3,FANTA ORANGE 300ML CAN,CAN,3500,2500,50,10,Coca-Cola Tanzania,active
4,SPRITE 2L BTL,PET,4200,3200,40,8,Coca-Cola Tanzania,active
5,WATER 1.5L BOTTLE,PET,2500,1500,200,30,Aqua Distributors,active
6,LAYS CHIPS 70G,SNACKS,3500,2200,60,12,Unilever Tanzania,active
7,DORITOS NACHO 65G,SNACKS,4000,2800,45,9,Pepsi Tanzania Ltd,active
8,KITKAT 4FINGER 42G,CHOCOLATE,2500,1600,30,6,Nestle Tanzania,active
9,TWIX 50G,CHOCOLATE,3000,2000,25,5,Mars Tanzania,active
10,BREAD 400G,BAKERY,2000,1200,20,5,Local Bakery,active
11,MILK 1L PACK,DAIRY,4500,3200,35,7,Tanzania Dairy,active
12,EGGS 12PCS,DAIRY,6000,4500,24,6,Local Farm,active
13,TOMATOES 1KG,FRESH PRODUCE,2500,1500,15,3,Local Market,active
14,ONIONS 1KG,FRESH PRODUCE,3000,2000,12,4,Local Market,active
15,RICE 5KG,BASIC,15000,12000,20,4,Millers Ltd,active
